Date,Time,TempC
5/8/2016,21:00:00,13.28
5/8/2016,22:00:00,12.84
5/8/2016,23:00:00,12.45
5/9/2016,0:00:00,12.22
5/9/2016,1:00:00,12.14
5/9/2016,2:00:00,12.17
5/9/2016,3:00:00,12.19
5/9/2016,4:00:00,12.18
5/9/2016,5:00:00,12.13
5/9/2016,6:00:00,12.06
5/9/2016,7:00:00,12.02
5/9/2016,8:00:00,12.12
5/9/2016,9:00:00,12.34
5/9/2016,10:00:00,12.65
5/9/2016,11:00:00,13.1
5/9/2016,12:00:00,13.63
5/9/2016,13:00:00,14.15
5/9/2016,14:00:00,14.67
5/9/2016,15:00:00,14.99
5/9/2016,16:00:00,15.04
5/9/2016,17:00:00,15.05
5/9/2016,18:00:00,14.86
5/9/2016,19:00:00,14.48
5/9/2016,20:00:00,14
5/9/2016,21:00:00,13.54
5/9/2016,22:00:00,13.05
5/9/2016,23:00:00,12.53
5/10/2016,0:00:00,12.11
5/10/2016,1:00:00,11.87
5/10/2016,2:00:00,11.7
5/10/2016,3:00:00,11.6
5/10/2016,4:00:00,11.48
5/10/2016,5:00:00,11.38
5/10/2016,6:00:00,11.37
5/10/2016,7:00:00,11.38
5/10/2016,8:00:00,11.5
5/10/2016,9:00:00,11.77
5/10/2016,10:00:00,12.2
5/10/2016,11:00:00,12.68
5/10/2016,12:00:00,13.16
5/10/2016,13:00:00,13.78
5/10/2016,14:00:00,14.35
5/10/2016,15:00:00,14.89
5/10/2016,16:00:00,15.11
5/10/2016,17:00:00,15.23
5/10/2016,18:00:00,15.11
5/10/2016,19:00:00,14.77
5/10/2016,20:00:00,14.31
5/10/2016,21:00:00,13.78
5/10/2016,22:00:00,13.24
5/10/2016,23:00:00,12.8
5/11/2016,0:00:00,12.42
5/11/2016,1:00:00,12.14
5/11/2016,2:00:00,11.97
5/11/2016,3:00:00,11.83
5/11/2016,4:00:00,11.7
5/11/2016,5:00:00,11.59
5/11/2016,6:00:00,11.5
5/11/2016,7:00:00,11.46
5/11/2016,8:00:00,11.54
5/11/2016,9:00:00,11.76
5/11/2016,10:00:00,12.12
5/11/2016,11:00:00,12.64
5/11/2016,12:00:00,13.23
5/11/2016,13:00:00,13.84
5/11/2016,14:00:00,14.48
5/11/2016,15:00:00,15.02
5/11/2016,16:00:00,15.26
5/11/2016,17:00:00,15.37
5/11/2016,18:00:00,15.24
5/11/2016,19:00:00,14.89
5/11/2016,20:00:00,14.2
5/11/2016,21:00:00,13.49
5/11/2016,22:00:00,12.92
5/11/2016,23:00:00,12.51
5/12/2016,0:00:00,12.18
5/12/2016,1:00:00,11.99
5/12/2016,2:00:00,11.87
5/12/2016,3:00:00,11.76
5/12/2016,4:00:00,11.69
5/12/2016,5:00:00,11.61
5/12/2016,6:00:00,11.51
5/12/2016,7:00:00,11.49
5/12/2016,8:00:00,11.65
5/12/2016,9:00:00,11.98
5/12/2016,10:00:00,12.45
5/12/2016,11:00:00,12.99
5/12/2016,12:00:00,13.57
5/12/2016,13:00:00,14.22
5/12/2016,14:00:00,14.81
5/12/2016,15:00:00,15.25
5/12/2016,16:00:00,15.45
5/12/2016,17:00:00,15.44
5/12/2016,18:00:00,15.17
5/12/2016,19:00:00,14.71
5/12/2016,20:00:00,14.11
